"strain","median.mean","median.sd","sd.mean","sd.sd","genotype","expids","treatment"
"EMS",1.02240818900045,0.00706174020366255,0.996229745248216,0.0373541550165838,"wt.1","0","ems"
"EMS",0.992805474562832,0.00128512424825426,1.00266255253414,0.042337891229742,"wt.1","0","ems"
"SHAM",0.991324671089703,0.00284651031188482,1.00033344113499,0.0218130510939036,"wt.1","0","sham"
"SHAM",0.998369909667276,0.00531616516169022,1.05384539223017,0.0583962148696853,"wt.1","0","sham"
"EMS",0.984922049270516,0.00275453605263978,0.887684057850351,0.0413931339334085,"wt.1","0","ems"
"EMS",0.99585894639096,0.00803526386156242,0.988576482817253,0.0544751496465461,"wt.1","0","ems"
"EMS",0.997357283510662,0.00398944661309359,1.00836984812219,0.0326039772014321,"wt.1","0","ems"
"EMS",1.00171554272513,0.00470415172835907,1.04418659904484,0.0520051946762556,"wt.1","0","ems"
"EMS",0.967622011869331,0.0187043616912708,0.929301338136519,0.0279933192574134,"wt.1","0","ems"
"EMS",0.995227813346066,0.0129339970935547,1.00221654357866,0.0512797841142031,"wt.1","0","ems"
"EMS",0.973667687087546,0.019435502785271,0.902306438960724,0.0667211203905083,"wt.1","0","ems"
"EMS",1.00104593710779,0.0165276503894074,0.972867438349363,0.067990130719723,"wt.1","0","ems"
"EMS",0.954498967907998,0.0228742622145295,0.953200744748427,0.0804755006003146,"wt.1","0","ems"
"EMS",0.997587956450136,0.00446248762794982,1.04056079091349,0.028642501322262,"wt.1","0","ems"
"EMS",0.923403283070522,0.0374262969831321,0.917327172039141,0.163588508728799,"wt.1","0","ems"
"EMS",0.998355937526984,0.0179544208007568,1.01366795121888,0.0836031611036772,"wt.1","0","ems"
"EMS",1.00887901890975,0.00641767829010033,1.03931728516909,0.048764784287711,"wt.1","0","ems"
"SHAM",1.00258141755356,0.00575699951600329,1.00907905284287,0.0237311284588483,"wt.1","0","sham"
"EMS",1.00940774598292,0.00745119343777679,0.983980668141267,0.0530716372317634,"wt.1","0","ems"
"EMS",0.994037399212577,0.0193285944784731,1.03886429215581,0.0504808691505266,"wt.1","0","ems"
"EMS",1.00425730151254,0.00747225968248602,0.938582625844132,0.0756020712915982,"wt.1","0","ems"
"EMS",0.951663892124657,0.0308903877823286,0.990334454152092,0.09035635721939,"wt.1","0","ems"
"EMS",0.990918686012056,0.000703316562875381,1.03209560529452,0.0490696191150463,"wt.1","0","ems"
"EMS",1.00057306162928,0.00685656083193885,1.02853144373054,0.0204359461458679,"wt.1","0","ems"
"EMS",1.02118712298243,0.00261968751584794,1.04126473091705,0.0258743505179846,"wt.1","0","ems"
"EMS",1.0814896719642,0.0171971365068371,1.31356355633245,0.0981942462621422,"wt.1","0","ems"
"SHAM",1.00347370198203,0.00334855619211912,0.977706260250709,0.0423230143672719,"wt.1","0","sham"
"EMS",1.01035253970065,0.00124630713513402,0.975261613401996,0.0438964738959899,"wt.1","0","ems"
